lat,lon,name,type
23.71444444,86.20222222,Pupunki,Base
25.10111111,77.64777778,PACHAWALI,Base
25.18,91.75638889,Therriaghat,Base
25.97916667,91.38583333,KULSI,Base
25.63027778,82.75666667,Jalalpur,Base
30.53718889,77.82591944,Haripur,Base
24.24611111,78.17916667,RAJGHAT,Base
21.33944444,74.89,SHIRPUR,Base
30.60444444,77.44111111,Dadahu/Renuka,Base
29.2675,79.54833333,Kathgodam,Base
26.10611111,80.05055556,KORA-OLD,Base
11.7375,78.79083333,Mayambadi,Base
30.52694444,77.85305556,Kalsi,Base
17.48833333,82.74277778,YETIKOPPAKA,Base
24.42638889,82.20611111,Jhokho,Base
11.37416667,76.99222222,Gandhavayal,Base
25.19055556,90.49805556,Sibbari,Base
24.56694444,83.97583333,Japla,Base
20.61111111,81.68166667,MURUMSILLI,Base
26.47472222,89.78638889,Barabisha,Base
11.78722222,78.78666667,Kalpadai,Base
29.43694444,78.47777778,Nagina,Base
22.30861111,86.91638889,Fekoghat,Base
28.09472222,77.47722222,Palwal/Rahimpur,Base
20.82694444,71.0475,Una,Base
24.58305556,92.95638889,Monierkhal,Base
22.40583333,77.30777778,Chhidgaon,Base
21.94361111,74.745,Pati,Base
22.92777778,79.33972222,Belkhedi,Base
10.95194444,76.78527778,Alandurai,Base
22.20555556,74.85166667,Dhulsar,Base
23.81194444,92.65,Sairang,Base
21.47916667,74.14361111,VELDA,Base
15.84555556,77.02527778,Melaganur,Base
30.13121111,77.46714444,Panchkuan,Base
29.47725833,77.51815833,Titawi,Base
27.82805556,77.15805556,Piprauli,Base
26.11138889,80.92222222,Lalganj,Base
28.36388889,78.27888889,Anupshahar,Base
22.92388889,78.79166667,Gadarwara,Base
24.01083333,73.66361111,Khandiovari,Base
24.99083333,71.68111111,Gandhav ,Base
25.82416667,72.21944444,Balotra ,Base
27.57194444,80.68583333,Sitapur,Base
23.75638889,86.35208333,PUTKI,Base
23.54555556,87.90694444,Natunhat,Base
29.31855556,79.58416667,NAUKUCHIATAL,Base
24.97694444,92.51833333,Gumrabazar,Base
27.13055556,88.27861111,Singlabazar,Base
27.17166667,88.52972222,Rangpo,Base
24.86083333,92.29027778,Fakirabazar,Base
22.60583333,77.19555556,Sip at Dholpur,Base
31.035,78.75027778,Harshil,Base
23.10444444,86.66166667,Tusuma,Base
23.03583333,76.73555556,Astha,Base
24.43361111,76.34055556,Barodiya,Base
23.28777778,86.36027778,Simulia,Base
28.51861111,79.25166667,Meerganj,Base
11.90277778,78.33,HARUR,Base
11.23944444,76.02333333,KUNIYIL,Base
27.78722222,78.6275,Kasganj,Base
22.91916667,86.62694444,Phulberia,Base
24.28722222,73.84638889,Amarpura,Base
25.08277778,82.92083333,Ahrora,Base
23.97777778,81.51333333,Koilari,Base
24.37277778,81.60333333,Churhat,Base
30.33194444,79.31027778,Nandprayag,Base
12.45845833,75.27633889,POOKKAYAM,Base
26.19722222,75.84166667,Tonk,Base
11.05694444,76.03944444,KARATHODU,Base
23.34916667,68.76861111,Chhasara,Base
20.93638889,76.47416667,YERLI,Base
11.26416667,76.23861111,CHAKKALAKUTH,Base
24.88305556,74.63222222,Chittorgarh,Base
23.91527778,74.70222222,Sohagpura,Base
27.79666667,77.61472222,Shergarh,Base
26.18916667,76.36694444,Dubi,Base
23.38777778,79.915,Hiran at Singaldeep,Base
29.1075,77.42194444,Shekhpura (Barnawa),Base
27.25472222,78.02333333,AGRA(POIYAGHAT),Base
26.62194444,78.8375,BHIND,Base
16.5,80.53333333,Prakasam Barrage,Base
11.44305556,79.02444444,Venganur,Base
10.90361111,79.70722222,Porakudi,Base
23.97777778,86.855,Jamtara1,Base
20.19361111,79.66611111,Rajoli,Base
30.88222222,77.20944444,Yashwant Nagar,Base
27,94,Bana,Base
26.30722222,79.92,LALPUR,Base
19.44472222,84.26138889,Mohana,Base
20.93083333,85.51916667,Altuma,Base
28.3732,77.48831389,Manjhawali,Base
21.58111111,79.8,Sitekasa,Base
26.65166667,80.79472222,Bani,Base
30.06444444,77.76055556,Attal,Base
27.29691111,77.72822222,Parkham,Base
25.08083333,79.34333333,GARRAULI,Base
24.54361111,92.43305556,ANIPUR,Base
24.79166667,93.00472222,Lakhipur,Base
22.91583333,78.3475, Sandia,Base
10.85055556,79.78944444,Gopurajapuram,Base
21.91944444,75.74666667,Beda at Satwadi(Gogawa),Base
22.24611111,76.05166667,Choral at Barwah,Base
22.7575,77.68805556,D/S HOSHANGABAD,Base
28.19277778,94.77027778,Kabu basti (Kambang),Base
28.07388889,96.49638889,Hayuliang,Base
27.5075,96.16,Motipur,Base
22.70722222,78.19416667,Palakmati at Sohagpur,Base
30.79166667,78.13805556,Naugaon,Base
15.49194444,76.7175,Oollenur,Base
27.35861111,93.03972222,Seppa,Base
21.60916667,86.68333333,Jeypore,Base
25.2375,82.03777778,Mejaroad,Base
16.71472222,80.32027778,Keesara,Base
26.42916667,82.54861111,Akbarpur,Base
29.15861111,79.03888889,Ram nagar Barrage,Base
21.29722222,73.02527778,GHALA,Base
20.2575,85.18555556,Khandapara,Base
20.01,85.2975,Padmavati,Base
22.27166667,75.10472222,Maan at Gopalpura,Base
26.51944444,88.10583333,Galgalia,Base
30.99388889,78.94027778,Gangotri,Base
26.04055556,85.555,Sakra,Base
19.95583333,79.10083333,Ghugus,Base
20.42194444,80.09166667,Wairagarah,Base
20.9125,79.92722222,Salebardi,Base
27.83694444,79.91,Shahjahanpur,Base
11.9823,75.58415833,PERUMANNU,Base
24.34583333,77.1125,A.B.Road X-ing,Base
25.03333333,81.73472222,Chakghat,Base
25.38027778,82.82861111,TENDUI,Base
26.94777778,83.57583333,MAU,Base
25.66666667,83.55416667,Ashatpur,Base
24.77444444,81.25972222,REWA,Base
23.86694444,81.21583333,Chansura,Base
24.60361111,82.77638889,NIWARI,Base
25.21638889,83.51638889,Durgawati,Base
24.19138889,81.47944444,NAURHIA,Base
26.79972222,91.69972222,DRF,Base
27.7599,94.009,TAMEN,Base
11.57277778,76.91916667,THENGUMARAHADA,Base
8.715277778,76.85416667,AYILAM ,Base
22.40861111,76.21972222,Kaner at Mendhikheda,Base
22.64277778,77.56361111,Hathed at Misrod,Base
30.65416667,79.02777778,Gaurikund,Base
22.47222222,76.78722222,Datuni at Dudwas,Base
